id,title,plot,genres,director,country,year,film_type,poster_url,slug
11,Đuổi Kịp Anh Sẽ Yêu Em,"Để tham gia giải vô địch đua xe thế giới, Thẩm Nghi thay người anh trai hôn mê gia nhập đội đua Trường Cốc, và quen biết Cố Dịch Thần. Qua quá trình tiếp xúc, Thẩm Nghi và Cố Dịch Thần từ không đánh không quen biết đến dần nảy sinh tình cảm. Cuối cùng, hai người vượt qua muôn vàn khó khăn, ngọt ngào bên nhau, cùng nhau lao về đích.",Chính Kịch,徐飞,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/duoi-kip-anh-se-yeu-em-thumb.jpg,duoi-kip-anh-se-yeu-em
12,Đưa Anh Vào Cuộc Chơi,"Hứa Tranh là một bà nội trợ toàn thời gian, Lục Diễn chồng cô là bác sĩ chính tại một bệnh viện tư nhân. Sau năm năm kết hôn, hai người có một cô con gái đáng yêu tên Lục Gia Gia. Một năm trước, Hứa Tranh bắt đầu gặp vấn đề về giấc ngủ, tình trạng ngày càng nghiêm trọng, đôi khi còn xuất hiện ảo giác và có xu hướng tự làm hại bản thân hoặc người khác. Tuy nhiên, một vụ tai nạn xe hơi đã thay đổi cuộc hôn nhân vốn dĩ hạnh phúc này. Chiếc xe lao xuống hồ, Lục Diễn may mắn được người qua đường cứu giúp và giữ được mạng sống, nhưng Hứa Tranh lại mất tích.&nbsp;",Chính Kịch,葛鹏翔,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/dua-anh-vao-cuoc-choi-thumb.jpg,dua-anh-vao-cuoc-choi
13,Bạn Gái Một Sao Của Tôi,"Một lần tình cờ, Dịch Nhiên, người sống nhờ đủ loại công việc bán thời gian, trở thành người đánh giá khách sạn năm sao, đồng thời quen biết Tiêu Mục Thừa trong tình huống trớ trêu. Không ngờ Tiêu Mục Thừa lại là giám đốc khách sạn, cấp trên trực tiếp của Dịch Nhiên. Trong công việc thường ngày ở khách sạn, hai người gặp phải đủ loại khách hàng cũng như những khó khăn trong việc quản lý khách sạn. Dịch Nhiên và Tiêu Mục Thừa cùng nhau hợp tác để giải quyết những khủng hoảng đó. Hai con người thuộc hai thế giới khác nhau, dù liên tục xảy ra mâu thuẫn trong cuộc sống thường ngày, nhưng họ không nhận ra rằng mình lại vô tình xích gần nhau hơn...&nbsp;",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/ban-gai-mot-sao-cua-toi-thumb.jpg,ban-gai-mot-sao-cua-toi
14,Hỏa Vũ Khuynh Thành (Phần 1),"Nữ giáo viên trung học Triệu Tinh Nhu và thiếu soái quyền lực của quân phiệt Dịch Thu Đình yêu nhau. Vì sự khác biệt về gia thế, tình yêu của họ gặp phải nhiều cản trở. Những hành động cưỡng ép và bá đạo của Dịch Thu Đình đã khiến mối quan hệ giữa hai người ngày càng rạn nứt. Khi tưởng rằng đã mất đi đứa con, Triệu Tinh Nhu quyết định giả chết và rời đi. Nhiều năm sau, cô quay trở lại với một con người hoàn toàn mới. Cô dùng hành động chứng minh rằng phụ nữ hoàn toàn có thể sống tỏa sáng với tính cách độc lập.",Chính Kịch,潘嬿茜,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/hoa-vu-khuynh-thanh-phan-1-thumb.jpg,hoa-vu-khuynh-thanh-phan-1
15,May Vá Âm Dương,"Mã Tam, truyền nhân phái Âm Dương may vá dùng kỹ thuật khâu thần kỳ giúp trạng sư Tống Nguyên khâu đầu để giữ mạng sống, thoát khỏi kiếp nạn. Cả hai cùng nhau điều tra, phá hàng loạt vụ án ly kỳ, trả lại công bằng cho người dân. Sau cùng, họ hợp lực đưa cha con tham quan ra trước công lý.",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/may-va-am-duong-thumb.jpg,may-va-am-duong
16,Tiếng Vọng Kinh Hoàng,Tất cả đều chết. Hết sức tan hoang.,Hài Hước|Kinh Dị,Osgood Perkins,Âu Mỹ,2025,Phim Lẻ,https://img.ophim.live/uploads/movies/tieng-vong-kinh-hoang-thumb.jpg,tieng-vong-kinh-hoang
17,Bạn Trai Nội Trợ Của Tôi,"Nữ tổng tài bá đạo Dịch Ninh buộc phải kết hôn mới được thừa kế cơ ngơi, vì thế cô đã tìm đến chàng đầu bếp đẹp trai đảm đang Thẩm Khiên Trạch để thực hiện hôn nhân hợp đồng. Cuộc sống “vợ kiếm tiền, chồng chăm lo gia đình” khiến Dịch Ninh dần nảy sinh tình cảm. Không ngờ Thẩm Khiên Trạch lại giấu một bí mật động trời. Anh cố ý tiếp cận với mục đích riêng, cô cũng cam tâm chìm đắm trong vô thức.&nbsp;",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/ban-trai-noi-tro-cua-toi-thumb.jpg,ban-trai-noi-tro-cua-toi
18,Viện Nghiên Cứu Khoai Tây,"Cuộc sống của nhà nghiên cứu đầy đam mê nọ thay đổi khi một giám đốc nghiêm khắc đến viện nghiên cứu khoai tây của cô, chứng minh tình yêu có thể nảy mầm ở nơi không ngờ tới nhất.&nbsp;",Chính Kịch,Đang cập nhật,Hàn Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/vien-nghien-cuu-khoai-tay-thumb.jpg,vien-nghien-cuu-khoai-tay
19,Ghép Đôi Trái Tim,"Tình yêu bắt đầu bằng sự phấn khích. Nhưng cần gì để tình yêu trở thành hôn nhân?! Những chàng trai và cô gái trẻ mơ ước về hôn nhân đã tụ họp dưới một mái nhà. Trong suốt một tháng, họ đi du lịch giữa Ý và Seoul, trải qua những cặp đôi định mệnh để tìm được người bạn đời trọn đời của mình. Một trái tim đập rộn ràng, những giá trị hoàn toàn phù hợp, sự ổn định tài chính đáng mơ ước, một quan điểm chung về tình yêu… Cặp đôi nào sẽ là tốt nhất đối với tôi? Những chàng trai và cô gái trẻ này điều hướng giữa sự lãng mạn và thực tế, dành một tháng tràn ngập cả sự phấn khích và những khoảnh khắc sáng suốt. Câu chuyện ly kỳ và thực tế nhất về tình yêu và hôn nhân trong thời đại này!",Tình Cảm,Đang cập nhật,Hàn Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/heart-pairing-thumb.jpg,ghep-doi-trai-tim
20,Điệp Vụ Thanh Xuân,"""Điệp vụ thanh xuân"" là bộ phim hài hành động kể về Jung Hae Sung (Seo Kang Joon), đặc vụ xuất sắc của Cơ quan Tình báo Quốc gia Hàn Quốc (NIS). Sau một sự cố nghiêm trọng, anh bị giáng chức và nhận nhiệm vụ đặc biệt: giả dạng học sinh trung học để điều tra về kho vàng thất lạc của Hoàng đế Gojong.",Chính Kịch|Hành Động,Đang cập nhật,Hàn Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/diep-vien-thanh-xuan-thumb.jpg,diep-vien-thanh-xuan
21,Khi Chim Nhạn Trở Về,"Từ nhỏ, Trang Hàn Nhạn bị bỏ rơi ở nơi miền quê phương Nam. Trải qua muôn vàn khó khăn, cô trở về nhà họ Trang ở kinh thành và và lọt vào mắt xanh của Phó Vân Tịch, Phó Thiếu khanh Đại Lý Tự. Phó Vân Tịch mắc một chứng bệnh kỳ lạ, muốn cưới một thê tử tài đức vẹn toàn để có thể chăm sóc cho mình. Với sự gan dạ và tấm lòng lương thiện, Trang Hàn Nhạn trở thành lựa chọn lý tưởng nhất. Trong quá trình thăm dò và thử thách lẫn nhau, cả hai dần nảy sinh tình cảm. Hàn Nhạn không chỉ hóa giải khúc mắc với mẹ, tìm lại tình thân đã đánh mất mà còn cảm nhận được tình cảm ấm áp của gia đình khi sống chung với người nhà họ Phó. Cô và Phó Vân Tịch liên thủ vạch trần bộ mặt giả nhân giả nghĩa của Trang Sĩ Dương – gia chủ nhà họ Trang, kẻ lộng quyền làm trái pháp luật và trở thành đôi phu thê hạnh phúc.&nbsp;",Chính Kịch,Dương Long,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/khi-chim-nhan-tro-ve-thumb.jpg,khi-chim-nhan-tro-ve
22,Nữ Thần Lớp E,"Phim kể về 16 chàng trai hung dữ và một cô gái trẻ dữ tợn từ Phân khu E. Cuộc sống của họ trở nên hỗn loạn khi Jay-Jay Mariano, một ca sĩ tài năng và cựu thành viên của Ppop Generation, gia nhập lớp với tư cách là ""mutya"" của Phân khu E - phân khu thấp kém và hỗn loạn nhất tại Trường Quốc tế Higher Value.",Tình Cảm,Đang cập nhật,Philippines,2025,Phim Bộ,https://img.ophim.live/uploads/movies/nu-than-lop-e-thumb.jpg,nu-than-lop-e
23,Khát Khao Rực Lửa,"Năm 1912, một vụ hỏa hoạn khủng khiếp xảy ra tại bữa tiệc lớn ở dinh thự Sila Kram, dẫn đến cái chết của Khun Phra Phakdee và sự mất tích của cháu gái ông, Kaewta. Mười năm sau, Kaewta quay trở lại để làm sáng tỏ bí ẩn đằng sau đêm định mệnh ấy. Liệu ngọn lửa năm xưa đã thật sự tắt hẳn hay Khát Khao Rực Lửa trong trái tim con người sẽ tiếp tục thiêu đốt và tán phá mà không bao giờ có hồi kết?&nbsp;",Chính Kịch|Hình Sự,Thanawat Panyarin,Thái Lan,2025,Phim Bộ,https://img.ophim.live/uploads/movies/khat-khao-ruc-lua-thumb.jpg,khat-khao-ruc-lua
24,Siêu Năng Lập Phương (Phần 1),"In an accident, an ordinary boy, Wang Xiaoxiu, obtains a space system called ""Superpower Cube"" from a high-latitude cosmic civilization and gains extraordinary powers. When the school belle, Shen Yao, Wang Xiaoxiu’s longtime crush, confesses her love to him, the delinquent Sun Jun, who also has a crush on her, is provoked. Wang Xiaoxiu resolves the crisis with his wit and extraordinary powers, but it also brings more disasters as a result. Shen Yao is taken to the world of extraordinary beings by a mysterious person, and Wang Xiaoxiu embarks on a journey to rescue her. Fighting in the bizarre universe, he finds the meaning of fairness and justice on the path to becoming a peerless powerhouse.",Hành Động|Khoa Học|Phiêu Lưu|Viễn Tưởng,Đang cập nhật,Trung Quốc,2025,Phim Hoạt Hình,https://img.ophim.live/uploads/movies/sieu-nang-lap-phuong-phan-1-thumb.jpg,sieu-nang-lap-phuong-phan-1
25,Công Chúa Của Định Mệnh,"Jiang Muchen, người thừa kế của Tập đoàn Jiang, buộc phải kết hôn với Xia Yu, cháu gái của đồng đội của ông nội anh ta. Sau khi nhìn thấy Xia Yu, một cô thôn nữ ở làng chài, Jiang Muchen không thể tin rằng người này thực sự là đối tượng kết hôn do ông nội sắp đặt. Điều khiến anh ta càng không thể chấp nhận được là ông Jiang đã đưa ra một mệnh lệnh chết người rằng anh ta phải đưa Xia Yu đến bữa tiệc tối. Để trả thù cho ông nội, Jiang Muchen quyết định để Xia Yu xuất hiện trong bữa tiệc với tư cách là một cô gái làng chơi. Thật bất ngờ, Xia Yu đã ăn mặc đẹp đến tham dự đêm đó, khiến khán giả kinh ngạc và Jiang Muchen chết lặng. Hóa ra Jiang đã đạt đến mức này từ lâu, và sắp xếp cho Jiang Anchen, con trai thứ hai của nhà họ Jiang, mang theo Xia Yu để thực hiện một cuộc cải tổ lớn. Anh cả Jiang thậm chí còn tuyên bố việc Xia Yu đính hôn với Jiang Muchen ngay tại chỗ...",Tình Cảm,Dương Tiên Minh,Trung Quốc,2023,Phim Bộ,https://img.ophim.live/uploads/movies/cong-chua-cua-dinh-menh-thumb.jpg,cong-chua-cua-dinh-menh
26,Thầy Cãi Joseon,"Thầy Cãi Joseon - Joseon Attorney: A Morality dựa trên webtoon cùng tên, kể câu chuyện về một chàng trai cố gắng trở thành “thầy cãi” - chức quan giống như luật sư thời hiện đại - nhằm trả thù kẻ đã gây ra cái chết cho cha mẹ anh thông qua một buổi xét xử. Ban đầu, anh sẵn sàng lợi dụng tình cảm của những nạn nhân bị đối xử bất công cho tham vọng của mình. Nhưng dần dần từ mong muốn trả thù ban đầu, anh thực sự muốn đấu tranh vì người khác.",Cổ Trang|Hài Hước|Tình Cảm,Kim Seung Ho,Hàn Quốc,2023,Phim Bộ,https://img.ophim.live/uploads/movies/thay-cai-joseon-thumb.jpg,thay-cai-joseon
27,Anna Nicole Smith: Không ai hiểu tôi,"Từ đỉnh cao danh vọng người mẫu cho đến cái chết bi thảm của Anna Nicole Smith, bộ phim tài liệu này hé lộ về cô qua góc nhìn của những người thân cận nhất với cô.",Tài Liệu,Ursula Macfarlane,Âu Mỹ,2023,Phim Lẻ,https://img.ophim.live/uploads/movies/anna-nicole-smith-khong-ai-hieu-toi-thumb.jpg,anna-nicole-smith-khong-ai-hieu-toi
28,Trại Chủ Nại Hà Không Dễ Làm,"Việc rò rỉ danh sách bí mật của các đặc vụ bí mật của Ấn Diệu bị đánh cắp bởi cnội gián đã gây ra sự hoang mang trong tổ chức. Người đứng đầu Ấn Diệu - Thẩm Dịch Phụng nhận lệnh đi tìm gián điệp. Ngoài ra, để bảo vệ các mật vụ còn hoạt động bên ngoài, danh sách bị đánh cắp phải được thu hồi. Trương Tiểu Hoa được giao nhiệm vụ điều tra xem ai là gián điệp và phát hiện ra rằng trại Nại Hà có tin tức của danh sách nên đã giả vờ để nhị trại chủ bắt. Muốn quyến rũ trại chủ để lấy lại danh sách nhưng không ngờ suýt mất mạng. Trong lúc cấp bách nhị trại chủ ra tay giúp đỡ, ngỏ lời muốn lấy làm vợ, trại chủ nể tình chỉ có thể miễn cưỡng đồng ý, nhưng bí mật lên kế hoạch loại bỏ quyền lực của Lạc Hà. Tiểu Hoa thấy được trong trại luôn có nội chiến, nên lợi dụng mỹ nhân kế để chia rẽ quan hệ của Lạc Hà và trại chủ, nhân cơ hội tìm kiếm danh sách. Nhưng Lạc Hà sớm nhìn rõ mưu kế của cô, và thân phận của Lạc Hà cũng không hề đơn giản...",Cổ Trang|Tâm Lý,Lan Chao,Trung Quốc,2023,Phim Bộ,https://img.ophim.live/uploads/movies/trai-chu-nai-ha-khong-de-lam-thumb.jpg,trai-chu-nai-ha-khong-de-lam
29,Đấu Phá Thương Khung Hẹn Ước Ba Năm,"Ba năm trước, Naran Yanran, thiếu gia của phái Yun Lan, vội vàng hủy bỏ hôn ước. Xiao Yan xấu hổ sau đó đã có một cuộc hẹn ba năm với Naran Yanran. Vì lần giao dịch này, Tiêu Viêm đã tu luyện không ngừng, từ ma thú sơn mạch đến sa mạc kinh nghiệm, từ luyện đan đến các loại hỏa diễm thiêu thân thống khổ, tất cả đều là để chứng minh cho câu nói của hắn: “Sông đông ba mươi năm, ba mươi năm đến phía tây sông, đừng coi thường những người trẻ tuổi đã mất tất cả."" Bây giờ, những người trong gia đình Xiao nhất định sẽ đối mặt với thử thách và không bao giờ lùi bước. Con đường phát triển của Xiao Yan vẫn tiếp tục.……",Cổ Trang|Hành Động|Phiêu Lưu|Võ Thuật,Đang cập nhật,Trung Quốc,2023,Phim Hoạt Hình,https://img.ophim.live/uploads/movies/dau-pha-thuong-khung-hen-uoc-ba-nam-thumb.jpg,dau-pha-thuong-khung-hen-uoc-ba-nam
30,Vòng xoáy,"Sau khi kết nối lại với người vợ đã khuất thông qua một lỗi trong thực tế ảo, viên sĩ quan cảnh sát nọ cố gắng phủ nhận vụ tai nạn bí ẩn đã cướp đi sinh mạng của cô.",Chính Kịch|Khoa Học|Viễn Tưởng,Đang cập nhật,Pháp,2023,Phim Bộ,https://img.ophim.live/uploads/movies/vong-xoay-thumb.jpg,vong-xoay
31,Tin độc,"Vụ sát hại một nhà báo gây chấn động đẩy một phóng viên hình sự hàng đầu vào mạng lưới cảnh sát, giới truyền thông và thế giới ngầm Mumbai khi cô chiến đấu vì công lý.",Chính Kịch,Hansal Mehta,Ấn Độ,2023,Phim Bộ,https://img.ophim.live/uploads/movies/tin-doc-thumb.jpg,tin-doc
32,Thiếu gia giả nghèo 2,"Khi Paula rời Rio de Janeiro để tiếp tục công việc bác sĩ tình nguyện ở Amazon, Teto nảy ra kế hoạch bốc đồng để đi theo cô. Và rồi hỗn loạn xảy ra!",Chính Kịch|Hài Hước,Bruno Garotti,Brazil,2023,Phim Lẻ,https://img.ophim.live/uploads/movies/thieu-gia-gia-ngheo-2-thumb.jpg,thieu-gia-gia-ngheo-2
33,Thám tử động vật (Phần 3),"Sam và Kit trở lại để thu thập manh mối và phá giải thêm nhiều bí ẩn về động vật ở khắp nơi trên thế giới qua loạt vụ án mới, những chuyến đi mới và các bạn sinh vật mới!",Phiêu Lưu,Đang cập nhật,Âu Mỹ,2023,Phim Hoạt Hình,https://img.ophim.live/uploads/movies/tham-tu-dong-vat-phan-3-thumb.jpg,tham-tu-dong-vat-phan-3
34,Rung động khó quên,"Sau cuộc gặp khó quên, cô nàng lãng mạn hết thuốc chữa nọ dùng một ứng dụng để tìm kiếm người đàn ông mà cô vừa gặp. Nhưng liệu anh có thực sự là đối tượng cô đang tìm kiếm?",Chính Kịch|Hài Hước,Jelise Chung,Philippines,2023,Phim Lẻ,https://img.ophim.live/uploads/movies/rung-dong-kho-quen-thumb.jpg,rung-dong-kho-quen
35,Một cuộc đời đẹp,"Được một nhà sản xuất âm nhạc phát hiện ra tài năng tiềm ẩn, chàng ngư dân trẻ nọ phải quyết định xem anh đã sẵn sàng để trở thành ngôi sao và yêu đương hay chưa.",Âm Nhạc|Chính Kịch,Mehdi Avaz,Đan Mạch,2023,Phim Lẻ,https://img.ophim.live/uploads/movies/mot-cuoc-doi-dep-thumb.jpg,mot-cuoc-doi-dep
36,Bản phối của Erry,"Buôn lậu băng tự làm vào Napoli những năm 1980, một DJ đầy tham vọng và hai anh trai trở thành những nhà sản xuất âm nhạc quyền lực đến kinh ngạc nhưng bị truy nã theo pháp luật.",Chính Kịch,Sydney Sibilia,Ý,2023,Phim Lẻ,https://img.ophim.live/uploads/movies/ban-phoi-cua-erry-thumb.jpg,ban-phoi-cua-erry
