id,title,slug,poster_url,director,country,year,film_type,plot,genres,poster_url,combined_features
38,Bạn Bè & Hàng Xóm,ban-be-and-hang-xom,https://img.ophim.live/uploads/movies/ban-be-and-hang-xom-thumb.jpg,Đang cập nhật,Âu Mỹ,2025,Phim Bộ,"Khi một đại gia tài chính đột ngột rơi vào cảnh ly hôn và mất việc, anh ta bắt đầu đi ăn trộm những nhà hàng xóm giàu có để trang trải cuộc sống. Ăn trộm của hội mình chơi cùng đem lại khoái cảm kỳ lạ, nhưng dần dần khiến anh ta sa vào hố sâu chết chóc.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ban-be-and-hang-xom-thumb.jpg,"Bạn Bè & Hàng Xóm Khi một đại gia tài chính đột ngột rơi vào cảnh ly hôn và mất việc, anh ta bắt đầu đi ăn trộm những nhà hàng xóm giàu có để trang trải cuộc sống. Ăn trộm của hội mình chơi cùng đem lại khoái cảm kỳ lạ, nhưng dần dần khiến anh ta sa vào hố sâu chết chóc. Chính Kịch Đang cập nhật Âu Mỹ Phim Bộ"
39,Cuộc sống tươi đẹp,cuoc-song-tuoi-dep-2025,https://img.ophim.live/uploads/movies/cuoc-song-tuoi-dep-2025-thumb.jpg,汪俊,Trung Quốc,2025,Phim Bộ,"Hồ Mạn Lê, 39 tuổi, là một nhân viên bảo hiểm xuất thân từ tầng lớp bình dân. Cô đã bươn chải giữa đời để có được thành công hiện tại, nhưng ngay khi đang ở đỉnh cao sự nghiệp, cô bất ngờ bị chơi xấu. Sự nghiệp lẫn hôn nhân đều bị đẩy vào khủng hoảng. Người đứng sau mọi chuyện lại là Tuyết Hiểu Chu, một thiếu gia sa cơ mới 28 tuổi, vừa bước chân vào ngành bảo hiểm.Sau nhiều lần đối đầu, cả hai dần phát hiện ra sự thật phía sau, hóa giải hiểu lầm và quyết định bắt tay hợp tác. Trong những va chạm về quan niệm giữa đời thường muôn vẻ, họ trở thành cặp đôi “chiến hữu” hoàn hảo trong công việc – vừa là thầy trò, vừa là bạn đồng hành. Câu chuyện là hành trình họ cùng đạt được thành công trong sự nghiệp, đồng thời tìm lại bản ngã và ý nghĩa thật sự của cuộc sống.&nbsp;",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/cuoc-song-tuoi-dep-2025-thumb.jpg,"Cuộc sống tươi đẹp Hồ Mạn Lê, 39 tuổi, là một nhân viên bảo hiểm xuất thân từ tầng lớp bình dân. Cô đã bươn chải giữa đời để có được thành công hiện tại, nhưng ngay khi đang ở đỉnh cao sự nghiệp, cô bất ngờ bị chơi xấu. Sự nghiệp lẫn hôn nhân đều bị đẩy vào khủng hoảng. Người đứng sau mọi chuyện lại là Tuyết Hiểu Chu, một thiếu gia sa cơ mới 28 tuổi, vừa bước chân vào ngành bảo hiểm.Sau nhiều lần đối đầu, cả hai dần phát hiện ra sự thật phía sau, hóa giải hiểu lầm và quyết định bắt tay hợp tác. Trong những va chạm về quan niệm giữa đời thường muôn vẻ, họ trở thành cặp đôi “chiến hữu” hoàn hảo trong công việc – vừa là thầy trò, vừa là bạn đồng hành. Câu chuyện là hành trình họ cùng đạt được thành công trong sự nghiệp, đồng thời tìm lại bản ngã và ý nghĩa thật sự của cuộc sống.&nbsp; Chính Kịch 汪俊 Trung Quốc Phim Bộ"
40,Đầu Xuôi Đuôi Đút Lót,dau-xuoi-duoi-dut-lot,https://img.ophim.live/uploads/movies/dau-xuoi-duoi-dut-lot-thumb.jpg,하정우,Hàn Quốc,2025,Phim Lẻ,"Yoon Chang Wook - CEO một công ty công nghệ nhỏ, giỏi nghiên cứu nhưng mù tịt chuyện thương trường. Khi công ty sắp sập tiệm vì bị “bạn thân” cũ Son Gwang-woo đâm sau lưng bằng chiêu trò đút lót để giành lấy dự án quốc gia, Chang-wook buộc phải bước vào một cuộc chơi hoàn toàn xa lạ: đút lót bằng golf - “môn thể thao quyền lực” của giới làm ăn. Một trận đấu thầu có một không hai, nơi những cú đánh trượt là chiến lược, còn đút lót là kỹ năng, tạo nên trận đấu vừa hài hước, vừa châm biếm về thương trường thời hiện đại.",Chính Kịch|Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/dau-xuoi-duoi-dut-lot-thumb.jpg,"Đầu Xuôi Đuôi Đút Lót Yoon Chang Wook - CEO một công ty công nghệ nhỏ, giỏi nghiên cứu nhưng mù tịt chuyện thương trường. Khi công ty sắp sập tiệm vì bị “bạn thân” cũ Son Gwang-woo đâm sau lưng bằng chiêu trò đút lót để giành lấy dự án quốc gia, Chang-wook buộc phải bước vào một cuộc chơi hoàn toàn xa lạ: đút lót bằng golf - “môn thể thao quyền lực” của giới làm ăn. Một trận đấu thầu có một không hai, nơi những cú đánh trượt là chiến lược, còn đút lót là kỹ năng, tạo nên trận đấu vừa hài hước, vừa châm biếm về thương trường thời hiện đại. Chính Kịch|Hài Hước 하정우 Hàn Quốc Phim Lẻ"
41,Bí Mật Giới Thể Thao: Tranh Chấp Bằng Súng,bi-mat-gioi-the-thao-tranh-chap-bang-sung,https://img.ophim.live/uploads/movies/bi-mat-gioi-the-thao-tranh-chap-bang-sung-thumb.jpg,Walter Thompson-Hernández,Âu Mỹ,2025,Phim Lẻ,Chuyện gì đã thực sự xảy ra giữa Gilbert Arenas và Javaris Crittenton? Bộ phim này tiết lộ diễn biến cuộc tranh chấp cờ bạc dẫn đến hành động rút súng trong phòng thay đồ của NBA.&nbsp;,Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/bi-mat-gioi-the-thao-tranh-chap-bang-sung-thumb.jpg,Bí Mật Giới Thể Thao: Tranh Chấp Bằng Súng Chuyện gì đã thực sự xảy ra giữa Gilbert Arenas và Javaris Crittenton? Bộ phim này tiết lộ diễn biến cuộc tranh chấp cờ bạc dẫn đến hành động rút súng trong phòng thay đồ của NBA.&nbsp; Tài Liệu Walter Thompson-Hernández Âu Mỹ Phim Lẻ
42,Anh Quốc Và Blitz,anh-quoc-va-blitz,https://img.ophim.live/uploads/movies/anh-quoc-va-blitz-thumb.jpg,Ella Wright,Anh,2025,Phim Lẻ,"Bộ phim tài liệu lôi cuốn này tái hiện lịch sử qua những thước phim tư liệu được phục chế sống động và lời kể trực tiếp về nước Anh trong Thế chiến II, giữa Cuộc oanh tạc Blitz.&nbsp;",Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/anh-quoc-va-blitz-thumb.jpg,"Anh Quốc Và Blitz Bộ phim tài liệu lôi cuốn này tái hiện lịch sử qua những thước phim tư liệu được phục chế sống động và lời kể trực tiếp về nước Anh trong Thế chiến II, giữa Cuộc oanh tạc Blitz.&nbsp; Tài Liệu Ella Wright Anh Phim Lẻ"
43,Coi Chừng Hàng Xóm,coi-chung-hang-xom,https://img.ophim.live/uploads/movies/coi-chung-hang-xom-thumb.jpg,Duncan Skiles,Âu Mỹ,2025,Phim Lẻ,"Neighborhood Watch (2025) là một bộ phim giật gân đầy kịch tính, xoáy sâu vào những bí ẩn trong khu phố tưởng chừng bình yên. Simon, một thanh niên đang vật lộn với chứng rối loạn tâm lý, tình cờ chứng kiến một vụ mất tích bí ẩn. Khi cảnh sát bác bỏ lời khai của anh, Simon quyết định tự mình điều tra, tìm đến Ed, người hàng xóm từng là nhân viên an ninh. Cả hai bắt đầu khám phá những bí mật đen tối đang bị che giấu trong cộng đồng của họ, dẫn đến một cuộc săn đuổi căng thẳng giữa sự thật và nguy hiểm. Bộ phim không chỉ đem lại cảm giác hồi hộp mà còn đặt ra câu hỏi sâu sắc về niềm tin, trí óc và thực tế. Một hành trình đầy bất ngờ, nơi mọi ánh mắt đều có thể che giấu điều gì đó.",Hình Sự,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/coi-chung-hang-xom-thumb.jpg,"Coi Chừng Hàng Xóm Neighborhood Watch (2025) là một bộ phim giật gân đầy kịch tính, xoáy sâu vào những bí ẩn trong khu phố tưởng chừng bình yên. Simon, một thanh niên đang vật lộn với chứng rối loạn tâm lý, tình cờ chứng kiến một vụ mất tích bí ẩn. Khi cảnh sát bác bỏ lời khai của anh, Simon quyết định tự mình điều tra, tìm đến Ed, người hàng xóm từng là nhân viên an ninh. Cả hai bắt đầu khám phá những bí mật đen tối đang bị che giấu trong cộng đồng của họ, dẫn đến một cuộc săn đuổi căng thẳng giữa sự thật và nguy hiểm. Bộ phim không chỉ đem lại cảm giác hồi hộp mà còn đặt ra câu hỏi sâu sắc về niềm tin, trí óc và thực tế. Một hành trình đầy bất ngờ, nơi mọi ánh mắt đều có thể che giấu điều gì đó. Hình Sự Duncan Skiles Âu Mỹ Phim Lẻ"
44,Danh Bất Hư Truyền,danh-bat-hu-truyen,https://img.ophim.live/uploads/movies/danh-bat-hu-truyen-thumb.jpg,Đang cập nhật,Trung Quốc,2025,Phim Bộ,"Ngô Minh, người thừa kế của một gia tộc y học cổ truyền Trung Quốc, đã xuống núi để kéo dài sự sống cho vị hôn thê của mình, nhưng không ngờ lại gặp chủ tịch tập đoàn Dương thị đang bị bệnh nặng và treo giải thưởng 100 triệu nhân dân tệ để tìm bác sĩ điều trị. Ngô Minh vô tình dấn thân vào một cuộc hành trình đầy thử thách và cơ hội, và thu hút được sự chú ý của nhiều mỹ nhân. Đứng trước đủ loại cám dỗ, Ngô Minh sẽ lựa chọn thế nào?",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/danh-bat-hu-truyen-thumb.jpg,"Danh Bất Hư Truyền Ngô Minh, người thừa kế của một gia tộc y học cổ truyền Trung Quốc, đã xuống núi để kéo dài sự sống cho vị hôn thê của mình, nhưng không ngờ lại gặp chủ tịch tập đoàn Dương thị đang bị bệnh nặng và treo giải thưởng 100 triệu nhân dân tệ để tìm bác sĩ điều trị. Ngô Minh vô tình dấn thân vào một cuộc hành trình đầy thử thách và cơ hội, và thu hút được sự chú ý của nhiều mỹ nhân. Đứng trước đủ loại cám dỗ, Ngô Minh sẽ lựa chọn thế nào? Chính Kịch Đang cập nhật Trung Quốc Phim Bộ"
45,Anh Là Nắng Ấm Ban Trưa Của Em,anh-la-nang-am-ban-trua-cua-em,https://img.ophim.live/uploads/movies/anh-la-nang-am-ban-trua-cua-em-thumb.jpg,Deng Zhan Neng,Trung Quốc,2025,Phim Bộ,"Cô gái tốt bụng Hạ Noãn đã tìm được người hiến thận ở Nam Á cho người chị cùng cha khác mẹ đang mắc bệnh thận của mình. Sau khi đến nơi, cô phát hiện ra rằng quả thận của cô chính là quả thận mà chị gái cùng cha khác mẹ của cô muốn có. Khi biết sự thật, cuối cùng cô cũng nhìn thấu được cha dượng và chị gái cùng cha khác mẹ bề ngoài có vẻ hiền lành nhưng thực chất lại có ý đồ xấu. Với sự giúp đỡ của tên côn đồ ngầm Nam Á Trung Hân Dương, Hạ Noãn đã bất ngờ trở về tại đám tang mà cha dượng cô đã “cẩn thận” tổ chức cho cô…&nbsp;",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/anh-la-nang-am-ban-trua-cua-em-thumb.jpg,"Anh Là Nắng Ấm Ban Trưa Của Em Cô gái tốt bụng Hạ Noãn đã tìm được người hiến thận ở Nam Á cho người chị cùng cha khác mẹ đang mắc bệnh thận của mình. Sau khi đến nơi, cô phát hiện ra rằng quả thận của cô chính là quả thận mà chị gái cùng cha khác mẹ của cô muốn có. Khi biết sự thật, cuối cùng cô cũng nhìn thấu được cha dượng và chị gái cùng cha khác mẹ bề ngoài có vẻ hiền lành nhưng thực chất lại có ý đồ xấu. Với sự giúp đỡ của tên côn đồ ngầm Nam Á Trung Hân Dương, Hạ Noãn đã bất ngờ trở về tại đám tang mà cha dượng cô đã “cẩn thận” tổ chức cho cô…&nbsp; Chính Kịch Deng Zhan Neng Trung Quốc Phim Bộ"
46,Kẻ Trộm Ma Túy,ke-trom-ma-tuy,https://img.ophim.live/uploads/movies/ke-trom-ma-tuy-thumb.jpg,Đang cập nhật,Âu Mỹ,2025,Phim Bộ,Hai người bạn thân ở Philadelphia giả làm đặc vụ DEA để cướp của các tay buôn ma túy nhỏ. Đó vốn là trò lừa đảo hoàn hảo — cho đến khi họ chọn nhầm chỗ và trở thành mục tiêu của tổ chức ma túy lớn.,Chính Kịch|Hình Sự,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ke-trom-ma-tuy-thumb.jpg,Kẻ Trộm Ma Túy Hai người bạn thân ở Philadelphia giả làm đặc vụ DEA để cướp của các tay buôn ma túy nhỏ. Đó vốn là trò lừa đảo hoàn hảo — cho đến khi họ chọn nhầm chỗ và trở thành mục tiêu của tổ chức ma túy lớn. Chính Kịch|Hình Sự Đang cập nhật Âu Mỹ Phim Bộ
47,Bảo Hiểm Ly Hôn,bao-hiem-ly-hon,https://img.ophim.live/uploads/movies/bao-hiem-ly-hon-thumb.jpg,lee won suk,Hàn Quốc,2025,Phim Bộ,"Khi chuyên gia tính toán thiên tài Ki-jun từ Plus General Insurance, một trung tâm được kính trọng dành cho những bộ óc thông minh nhất, bắt đầu xây dựng một hợp đồng bảo hiểm ly hôn, một nhóm đặc nhiệm được thành lập bao gồm một người bảo lãnh, một chuyên gia định lượng, một giám định viên rủi ro, một giám định viên tổn thất và một cựu đại lý bảo hiểm hàng đầu. Khi họ định lượng ly hôn để xác định mức phí bảo hiểm công bằng, bộ phim hài lãng mạn về văn phòng này theo chân hành trình của họ về những mối quan hệ mới và tình yêu.",Chính Kịch|Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/bao-hiem-ly-hon-thumb.jpg,"Bảo Hiểm Ly Hôn Khi chuyên gia tính toán thiên tài Ki-jun từ Plus General Insurance, một trung tâm được kính trọng dành cho những bộ óc thông minh nhất, bắt đầu xây dựng một hợp đồng bảo hiểm ly hôn, một nhóm đặc nhiệm được thành lập bao gồm một người bảo lãnh, một chuyên gia định lượng, một giám định viên rủi ro, một giám định viên tổn thất và một cựu đại lý bảo hiểm hàng đầu. Khi họ định lượng ly hôn để xác định mức phí bảo hiểm công bằng, bộ phim hài lãng mạn về văn phòng này theo chân hành trình của họ về những mối quan hệ mới và tình yêu. Chính Kịch|Hài Hước lee won suk Hàn Quốc Phim Bộ"
48,Dục Vọng Nữ Giới,duc-vong-nu-gioi,https://img.ophim.live/uploads/movies/duc-vong-nu-gioi-thumb.jpg,Susan Streitfeld,Âu Mỹ,1997,Phim Lẻ,"Cốt truyện xoay quanh Eve Stephens, một luật sư tài năng nhưng phải đối mặt với những xung đột nội tâm và áp lực xã hội. Bộ phim khám phá sâu sắc tâm lý nữ giới, đặc biệt là những khía cạnh phức tạp và đôi khi u ám trong các mối quan hệ và cảm xúc.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/duc-vong-nu-gioi-thumb.jpg,"Dục Vọng Nữ Giới Cốt truyện xoay quanh Eve Stephens, một luật sư tài năng nhưng phải đối mặt với những xung đột nội tâm và áp lực xã hội. Bộ phim khám phá sâu sắc tâm lý nữ giới, đặc biệt là những khía cạnh phức tạp và đôi khi u ám trong các mối quan hệ và cảm xúc. Chính Kịch Susan Streitfeld Âu Mỹ Phim Lẻ"
49,Female Vampire,female-vampire,https://img.ophim.live/uploads/movies/female-vampire-thumb.jpg,Jesús Franco,Pháp,1973,Phim Lẻ,A mute noblewoman's vampiric heritage compels her to drain the life force from all of her lovers.,Kinh Dị,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/female-vampire-thumb.jpg,Female Vampire A mute noblewoman's vampiric heritage compels her to drain the life force from all of her lovers. Kinh Dị Jesús Franco Pháp Phim Lẻ
50,Gods and Generals,gods-and-generals,https://img.ophim.live/uploads/movies/gods-and-generals-thumb.jpg,Ronald F. Maxwell,Âu Mỹ,2003,Phim Lẻ,"The film centers mostly around the personal and professional life of Thomas ""Stonewall"" Jackson, a brilliant if eccentric Confederate general, from the outbreak of the American Civil War until its halfway point.",Chiến Tranh|Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/gods-and-generals-thumb.jpg,"Gods and Generals The film centers mostly around the personal and professional life of Thomas ""Stonewall"" Jackson, a brilliant if eccentric Confederate general, from the outbreak of the American Civil War until its halfway point. Chiến Tranh|Chính Kịch Ronald F. Maxwell Âu Mỹ Phim Lẻ"
51,Thỏ Ngọc Nơi Cung Trăng,tho-ngoc-noi-cung-trang,https://img.ophim.live/uploads/movies/tho-ngoc-noi-cung-trang-thumb.jpg,Ekkasit Trakulkasemsuk,Thái Lan,2025,Phim Bộ,"Jira is a twenty-nine-year-old bar host—not a career he'd have envisioned for himself. Twenty-eight-year-old Phugh is a real estate agent from a wealthy family. They're not a match, which should be fine, because they aren't looking for anything serious with each other.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/tho-ngoc-noi-cung-trang-thumb.jpg,"Thỏ Ngọc Nơi Cung Trăng Jira is a twenty-nine-year-old bar host—not a career he'd have envisioned for himself. Twenty-eight-year-old Phugh is a real estate agent from a wealthy family. They're not a match, which should be fine, because they aren't looking for anything serious with each other. Chính Kịch Ekkasit Trakulkasemsuk Thái Lan Phim Bộ"
52,Mùa Xuân Tuổi Trẻ,mua-xuan-tuoi-tre,https://img.ophim.live/uploads/movies/mua-xuan-tuoi-tre-thumb.jpg,Kim Sung-yong,Hàn Quốc,2025,Phim Bộ,"Bị loại khỏi ban nhạc của một ngôi sao K-pop, chàng trai nọ đi học đại học rồi phải lòng một cô sinh viên âm nhạc – người có thể mở ra cánh cửa cho dự án âm nhạc tiếp theo của anh.&nbsp;",Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/mua-xuan-tuoi-tre-thumb.jpg,"Mùa Xuân Tuổi Trẻ Bị loại khỏi ban nhạc của một ngôi sao K-pop, chàng trai nọ đi học đại học rồi phải lòng một cô sinh viên âm nhạc – người có thể mở ra cánh cửa cho dự án âm nhạc tiếp theo của anh.&nbsp; Hài Hước Kim Sung-yong Hàn Quốc Phim Bộ"
53,Dajal: Đêm Lừa Dối,dajal-dem-lua-doi,https://img.ophim.live/uploads/movies/dajal-dem-lua-doi-thumb.jpg,Pierre Andre,Malaysia,2025,Phim Lẻ,Hai người dọn dẹp hiện trường án mạng bỗng dưng bị một ngôi nhà xa lạ chi phối khi những sự việc kỳ lạ xảy ra. Việc phát hiện ra một cuốn sách lạ dẫn họ vào vòng nguy hiểm.&nbsp;,Kinh Dị,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/dajal-dem-lua-doi-thumb.jpg,Dajal: Đêm Lừa Dối Hai người dọn dẹp hiện trường án mạng bỗng dưng bị một ngôi nhà xa lạ chi phối khi những sự việc kỳ lạ xảy ra. Việc phát hiện ra một cuốn sách lạ dẫn họ vào vòng nguy hiểm.&nbsp; Kinh Dị Pierre Andre Malaysia Phim Lẻ
54,Thương Lan Quyết,thuong-lan-quyet,https://img.ophim.live/uploads/movies/thuong-lan-quyet-thumb.jpg,Yi Zheng,Trung Quốc,2022,Phim Bộ,"Nữ thần của tộc Poxin đã bị tiêu diệt bởi Demon Zun Dongfang Qingcang, mười ngàn năm sau, cô được tái sinh thành một tiên nữ tầng thấp trên thiên giới, Xiao Lanhua, và vô tình làm sống lại con quỷ Zun đang bị mắc kẹt trong Haotian Tower. Để có được tự do, lần này Dongfang Qingcang phải hy sinh linh hồn nữ thần của Xiao Lanhua để mở khóa phong ấn thần chú trên cơ thể cô.",Cổ Trang|Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/thuong-lan-quyet-thumb.jpg,"Thương Lan Quyết Nữ thần của tộc Poxin đã bị tiêu diệt bởi Demon Zun Dongfang Qingcang, mười ngàn năm sau, cô được tái sinh thành một tiên nữ tầng thấp trên thiên giới, Xiao Lanhua, và vô tình làm sống lại con quỷ Zun đang bị mắc kẹt trong Haotian Tower. Để có được tự do, lần này Dongfang Qingcang phải hy sinh linh hồn nữ thần của Xiao Lanhua để mở khóa phong ấn thần chú trên cơ thể cô. Cổ Trang|Tình Cảm Yi Zheng Trung Quốc Phim Bộ"
55,Hôn nhân tính điểm,hon-nhan-tinh-diem,https://img.ophim.live/uploads/movies/hon-nhan-tinh-diem-thumb.jpg,Sebastián De Caro,Âu Mỹ,2022,Phim Lẻ,"Mắc kẹt trong cuộc hôn nhân trắc trở, một cặp đôi nản lòng tìm được hy vọng ở một ứng dụng thú vị, tặng thưởng cho việc làm tốt. Rồi nỗi ám ảnh kiếm điểm chiếm hữu họ.",Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/hon-nhan-tinh-diem-thumb.jpg,"Hôn nhân tính điểm Mắc kẹt trong cuộc hôn nhân trắc trở, một cặp đôi nản lòng tìm được hy vọng ở một ứng dụng thú vị, tặng thưởng cho việc làm tốt. Rồi nỗi ám ảnh kiếm điểm chiếm hữu họ. Hài Hước Sebastián De Caro Âu Mỹ Phim Lẻ"
56,Thả Thí Thiên Hạ / Tranh Thiên Hạ,tha-thi-thien-ha-tranh-thien-ha,https://img.ophim.live/uploads/movies/tha-thi-thien-ha-tranh-thien-ha-thumb.jpg,Yin Tao,Trung Quốc,2022,Phim Bộ,"Bộ truyện kể về câu chuyện của hắc đạo vô song và Bai Fengxi vô song, một huyền thoại tình yêu võ thuật đi khắp thế giới trong tay. Sau mười năm, tình yêu của họ nảy nở trong máu, sau một cuộc chiến, Hei Fengxi cuối cùng cũng nhận ra tấm chân tình của mình và dốc hết sức tu luyện để cứu Bai Fengxi.",Cổ Trang|Tâm Lý|Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/tha-thi-thien-ha-tranh-thien-ha-thumb.jpg,"Thả Thí Thiên Hạ / Tranh Thiên Hạ Bộ truyện kể về câu chuyện của hắc đạo vô song và Bai Fengxi vô song, một huyền thoại tình yêu võ thuật đi khắp thế giới trong tay. Sau mười năm, tình yêu của họ nảy nở trong máu, sau một cuộc chiến, Hei Fengxi cuối cùng cũng nhận ra tấm chân tình của mình và dốc hết sức tu luyện để cứu Bai Fengxi. Cổ Trang|Tâm Lý|Tình Cảm Yin Tao Trung Quốc Phim Bộ"
57,Nhật ký tự do của tôi,nhat-ky-tu-do-cua-toi,https://img.ophim.live/uploads/movies/nhat-ky-tu-do-cua-toi-thumb.jpg,Đang cập nhật,Hàn Quốc,2022,Phim Bộ,"Mệt mỏi vì tuổi trưởng thành quá đỗi bình thường và đơn điệu, ba chị em tìm kiếm sự viên mãn và tự do trong cuộc sống tẻ nhạt của họ.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/nhat-ky-tu-do-cua-toi-thumb.jpg,"Nhật ký tự do của tôi Mệt mỏi vì tuổi trưởng thành quá đỗi bình thường và đơn điệu, ba chị em tìm kiếm sự viên mãn và tự do trong cuộc sống tẻ nhạt của họ. Chính Kịch Đang cập nhật Hàn Quốc Phim Bộ"
58,Ancient Earth: Dinosaurs of the Frozen Continent,ancient-earth-dinosaurs-of-the-frozen-continent,https://img.ophim.live/uploads/movies/ancient-earth-dinosaurs-of-the-frozen-continent-thumb.jpg,Đang cập nhật,Âu Mỹ,2022,Phim Bộ,"Sâu dưới lớp băng của Nam Cực là dấu vết của một thế giới đã mất của Khủng long và các sinh vật thời tiền sử. Những khu rừng lớn từng bao phủ lục địa Nam Cực giờ đã đóng băng; những con khủng long khổng lồ khổng lồ đi lang thang trong các thung lũng của nó, và những động vật có vú nguyên sinh lao qua những bụi cây. Đây cũng là nơi sinh sống của loài ăn thịt lớn nhất thời bấy giờ, Cryolophosaurus – T-Rex của Nam Cực.",Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ancient-earth-dinosaurs-of-the-frozen-continent-thumb.jpg,"Ancient Earth: Dinosaurs of the Frozen Continent Sâu dưới lớp băng của Nam Cực là dấu vết của một thế giới đã mất của Khủng long và các sinh vật thời tiền sử. Những khu rừng lớn từng bao phủ lục địa Nam Cực giờ đã đóng băng; những con khủng long khổng lồ khổng lồ đi lang thang trong các thung lũng của nó, và những động vật có vú nguyên sinh lao qua những bụi cây. Đây cũng là nơi sinh sống của loài ăn thịt lớn nhất thời bấy giờ, Cryolophosaurus – T-Rex của Nam Cực. Tài Liệu Đang cập nhật Âu Mỹ Phim Bộ"
59,Kẻ Sát Nhân: Đứa Trẻ Có Thể Chết,ke-sat-nhan-dua-tre-co-the-chet,https://img.ophim.live/uploads/movies/ke-sat-nhan-dua-tre-co-the-chet-thumb.jpg,Choi Jae-hoon,Hàn Quốc,2022,Phim Lẻ,"Người đàn ông Bang Ui Gang một kẻ giết người, nay đã rửa tay gác kiếm về sống yên bình. Nhưng, chưa được bao lâu thì anh bị cuốn vào một vụ án đặt biệt, đó chính là bảo vệ cô học sinh Kim Jun Ji. Một trẻ vị thành niên bị bạo hành đến nỗi các vết sẹo đầy khắp cả người. Sau cuộc gặp gỡ với Bang Ui Gang, Kim Jun Ji chỉ có thể tin tưởng vào anh giúp mình thoát khỏi cuộc sống chết chóc này.",Bí Ẩn|Hành Động|Hình Sự,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ke-sat-nhan-dua-tre-co-the-chet-thumb.jpg,"Kẻ Sát Nhân: Đứa Trẻ Có Thể Chết Người đàn ông Bang Ui Gang một kẻ giết người, nay đã rửa tay gác kiếm về sống yên bình. Nhưng, chưa được bao lâu thì anh bị cuốn vào một vụ án đặt biệt, đó chính là bảo vệ cô học sinh Kim Jun Ji. Một trẻ vị thành niên bị bạo hành đến nỗi các vết sẹo đầy khắp cả người. Sau cuộc gặp gỡ với Bang Ui Gang, Kim Jun Ji chỉ có thể tin tưởng vào anh giúp mình thoát khỏi cuộc sống chết chóc này. Bí Ẩn|Hành Động|Hình Sự Choi Jae-hoon Hàn Quốc Phim Lẻ"
